date,price,term
2017-11-02,227.48223876953125,term1
2017-11-03,228.2417449951172,term1
2017-11-06,228.59498596191406,term1
2017-11-07,228.43601989746094,term1
2017-11-08,228.8245849609375,term1
2017-11-09,227.99441528320312,term1
2017-11-10,227.923828125,term1
2017-11-13,228.13575744628906,term1
2017-11-14,227.6059112548828,term1
2017-11-15,226.46665954589844,term1
2017-11-16,228.391845703125,term1
2017-11-17,227.72068786621094,term1
2017-11-20,228.10922241210938,term1
2017-11-21,229.60171508789062,term1
2017-11-22,229.39857482910156,term1
2017-11-24,229.92843627929688,term1
2017-11-27,229.81370544433594,term1
2017-11-28,232.14511108398438,term1
2017-11-29,232.0037841796875,term1
2017-11-30,234.0349884033203,term1
2017-12-01,233.54922485351562,term1
2017-12-04,233.26666259765625,term1
2017-12-05,232.4276885986328,term1
2017-12-06,232.4718475341797,term1
2017-12-07,233.20486450195312,term1
2017-12-08,234.4765625,term1
2017-12-11,235.1830291748047,term1
2017-12-12,235.59808349609375,term1
2017-12-13,235.57167053222656,term1
2017-12-14,234.60902404785156,term1
2017-12-15,236.56271362304688,term1
2017-12-18,238.0628204345703,term1
2017-12-19,237.14857482910156,term1
2017-12-20,237.02427673339844,term1
2017-12-21,237.51251220703125,term1
2017-12-22,237.45033264160156,term1
2017-12-26,237.16627502441406,term1
2017-12-27,237.28167724609375,term1
2017-12-28,237.7698516845703,term1
2017-12-29,236.8733673095703,term1
2018-01-02,238.56871032714844,term1
2018-01-03,240.0776824951172,term1
2018-01-04,241.0896759033203,term1
2018-01-05,242.6962432861328,term1
2018-01-08,243.1400604248047,term1
2018-01-09,243.6903839111328,term1
2018-01-10,243.3175811767578,term1
2018-01-11,245.09278869628906,term1
2018-01-12,246.6906280517578,term1
2018-01-16,245.84725952148438,term1
2018-01-17,248.1907196044922,term1
2018-01-18,247.77357482910156,term1
2018-01-19,248.90077209472656,term1
2018-01-22,250.9245147705078,term1
2018-01-23,251.45712280273438,term1
2018-01-24,251.35952758789062,term1
2018-01-25,251.46595764160156,term1
2018-01-26,254.37750244140625,term1
2018-01-29,252.69091796875,term1
2018-01-30,250.09902954101562,term1
2018-01-31,250.22335815429688,term1
2018-02-01,249.93927001953125,term1
2018-02-02,244.49807739257812,term1
2018-02-05,234.27264404296875,term1
2018-02-06,238.88829040527344,term1
2018-02-07,237.5923309326172,term1
2018-02-08,228.6805419921875,term1
2018-02-09,232.11563110351562,term1
2018-02-12,235.5241241455078,term1
2018-02-13,236.1099853515625,term1
2018-02-14,239.29661560058594,term1
2018-02-15,242.3500518798828,term1
2018-02-16,242.4210662841797,term1
2018-02-20,240.90316772460938,term1
2018-02-21,239.70489501953125,term1
2018-02-22,240.0155487060547,term1
2018-02-23,243.8412628173828,term1
2018-02-26,246.67279052734375,term1
2018-02-27,243.59275817871094,term1
2018-02-28,241.12515258789062,term1
2018-03-01,237.6190185546875,term1
2018-03-02,238.84388732910156,term1
2018-03-05,241.6044158935547,term1
2018-03-06,242.21693420410156,term1
2018-03-07,242.12811279296875,term1
2018-03-08,243.29983520507812,term1
2018-03-09,247.5338134765625,term1
2018-03-12,247.22312927246094,term1
2018-03-13,245.62542724609375,term1
2018-03-14,244.36495971679688,term1
2018-03-15,244.09864807128906,term1
2018-03-16,244.36346435546875,term1
2018-03-19,241.05706787109375,term1
2018-03-20,241.4669952392578,term1
2018-03-21,241.00363159179688,term1
2018-03-22,234.9791259765625,term1
2018-03-23,229.97068786621094,term1
2018-03-26,236.26248168945312,term1
2018-03-27,232.24325561523438,term1
2018-03-28,231.55697631835938,term1
2018-03-29,234.51576232910156,term1
2018-04-02,229.45382690429688,term1
2018-04-03,232.3947296142578,term1
2018-04-04,234.8811492919922,term1
