day,negative,neutral,positive,total,positive_ratio,negative_ratio,neutral_ratio,date,price,prev_return,rolling_std,return,high_volatility,positive_ratio_lag1,negative_ratio_lag1,neutral_ratio_lag1,total_lag1
2017-05-10,2,8,1,11,0.0909090909090909,0.1818181818181818,0.7272727272727273,2017-05-10,209.7643890380859,-0.0009180867828629,0.0018837041465471,0.001795885946230369,0,1.0,0.0,0.0,2.0
2017-05-11,0,5,1,6,0.1666666666666666,0.0,0.8333333333333334,2017-05-11,209.33587646484375,0.0017958859462303,0.0023669562105197,-0.0020428280281852285,0,0.0909090909090909,0.1818181818181818,0.7272727272727273,11.0
2017-05-12,0,8,1,9,0.1111111111111111,0.0,0.8888888888888888,2017-05-12,208.9860687255859,-0.0020428280281852,0.0015213588362523,-0.0016710357783157326,0,0.1666666666666666,0.0,0.8333333333333334,6.0
2017-05-15,0,1,0,1,0.0,0.0,1.0,2017-05-15,210.14041137695312,-0.0016710357783157,0.0031661717273136,0.005523538762207902,0,0.1111111111111111,0.0,0.8888888888888888,9.0
2017-05-16,0,5,1,6,0.1666666666666666,0.0,0.8333333333333334,2017-05-16,209.94805908203125,0.0055235387622079,0.0031658575506411,-0.0009153512818476095,0,0.0,0.0,1.0,1.0
2017-05-17,0,0,1,1,1.0,0.0,0.0,2017-05-17,206.22268676757812,-0.0009153512818476,0.0086079536021314,-0.017744256987855977,1,0.1666666666666666,0.0,0.8333333333333334,6.0
2017-05-18,0,4,0,4,0.0,0.0,1.0,2017-05-18,207.0534515380859,-0.0177442569878559,0.0092465035501286,0.004028483885694323,0,1.0,0.0,0.0,1.0
2017-05-19,0,1,1,2,0.5,0.0,0.5,2017-05-19,208.4001312255859,0.0040284838856943,0.0100421766231197,0.006504019505573444,0,0.0,0.0,1.0,4.0
2017-05-22,0,2,0,2,0.0,0.0,1.0,2017-05-22,209.45828247070312,0.0065040195055734,0.0099768286725385,0.005077497978980716,0,0.5,0.0,0.5,2.0
2017-05-23,0,4,0,4,0.0,0.0,1.0,2017-05-23,209.9218292236328,0.0050774979789807,0.0100507095463017,0.002213074352858335,0,0.0,0.0,1.0,2.0
2017-05-24,0,2,0,2,0.0,0.0,1.0,2017-05-24,210.41151428222656,0.0022130743528583,0.0018303045961579,0.0023327019415027017,0,0.0,0.0,1.0,4.0
2017-05-25,0,2,2,4,0.5,0.0,0.5,2017-05-25,211.4171600341797,0.0023327019415027,0.0018605896579694,0.004779423575671071,0,0.0,0.0,1.0,2.0
