day,negative,neutral,positive,total,positive_ratio,negative_ratio,neutral_ratio,date,price,prev_return,rolling_std
2020-08-24,2,13,4,19,0.2105263157894736,0.1052631578947368,0.6842105263157895,2020-08-24,319.299072265625,0.0035473516166353303,0.005079672104223848
2020-08-25,3,9,6,18,0.3333333333333333,0.1666666666666666,0.5,2020-08-25,320.4163513183594,0.010133199663172832,0.005062364274298671
2020-08-26,0,6,2,8,0.25,0.0,0.75,2020-08-26,323.62872314453125,0.0034991616004600434,0.0036697635453053676
2020-08-27,1,4,2,7,0.2857142857142857,0.1428571428571428,0.5714285714285714,2020-08-27,324.3363342285156,0.010025617647022367,0.0038738705800057623
2020-08-28,1,9,3,13,0.2307692307692307,0.0769230769230769,0.6923076923076923,2020-08-28,326.4314270019531,0.002186490361884008,0.0036481320700191867
2020-08-31,3,9,3,15,0.2,0.2,0.6,2020-08-31,325.2488708496094,0.0064596301811852275,0.005088742526259672
2020-09-01,3,32,6,41,0.1463414634146341,0.073170731707317,0.7804878048780488,2020-09-01,328.3122253417969,-0.0036226786225967977,0.005681552697284054
2020-09-02,2,32,7,41,0.1707317073170731,0.048780487804878,0.7804878048780488,2020-09-02,333.0609130859375,0.009418493857289878,0.00689990919570475
2020-09-03,3,20,3,26,0.1153846153846153,0.1153846153846153,0.7692307692307693,2020-09-03,321.59893798828125,0.014463938219775097,0.019527221083787266
2020-09-04,2,9,6,17,0.3529411764705882,0.1176470588235294,0.5294117647058824,2020-09-04,318.97320556640625,-0.03441405054545921,0.019120658999773648
2020-09-08,10,77,16,103,0.1553398058252427,0.0970873786407767,0.7475728155339806,2020-09-08,310.2578430175781,-0.008164617825854537,0.021632731286683277
2020-09-09,2,47,10,59,0.1694915254237288,0.0338983050847457,0.7966101694915254,2020-09-09,316.38458251953125,-0.02732318074601947,0.024196791396625922
2020-09-10,6,34,12,52,0.2307692307692307,0.1153846153846153,0.6538461538461539,2020-09-10,310.8909606933594,0.019747251003759514,0.021078735205796627
2020-09-11,0,14,4,18,0.2222222222222222,0.0,0.7777777777777778,2020-09-11,311.04931640625,-0.017363746938688918,0.017975290888062778
