day,negative,neutral,positive,total,positive_ratio,negative_ratio,neutral_ratio
2017-05-31,1,5,3,9,0.3333333333333333,0.1111111111111111,0.5555555555555556
2017-06-01,1,3,1,5,0.2,0.2,0.6
2017-06-02,3,2,3,8,0.375,0.375,0.25
2017-06-03,0,2,1,3,0.3333333333333333,0.0,0.6666666666666666
2017-06-04,2,1,0,3,0.0,0.6666666666666666,0.3333333333333333
2017-06-05,1,5,2,8,0.25,0.125,0.625
2017-06-06,0,10,0,10,0.0,0.0,1.0
2017-06-07,0,4,1,5,0.2,0.0,0.8
2017-06-09,1,3,3,7,0.42857142857142855,0.14285714285714285,0.42857142857142855
2017-06-10,0,1,1,2,0.5,0.0,0.5
2017-06-11,2,1,1,4,0.25,0.5,0.25
2017-06-12,1,6,1,8,0.125,0.125,0.75
2017-06-13,1,7,2,10,0.2,0.1,0.7
2017-06-14,1,1,2,4,0.5,0.25,0.25
2017-06-15,2,2,2,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
2017-06-16,0,5,2,7,0.2857142857142857,0.0,0.7142857142857143
2017-06-17,0,2,1,3,0.3333333333333333,0.0,0.6666666666666666
2017-06-18,0,5,2,7,0.2857142857142857,0.0,0.7142857142857143
2017-06-19,0,10,3,13,0.23076923076923078,0.0,0.7692307692307693
2017-06-20,1,4,1,6,0.16666666666666666,0.16666666666666666,0.6666666666666666
2017-06-21,0,5,4,9,0.4444444444444444,0.0,0.5555555555555556
2017-06-22,1,10,2,13,0.15384615384615385,0.07692307692307693,0.7692307692307693
2017-06-23,0,3,4,7,0.5714285714285714,0.0,0.42857142857142855
2017-06-24,2,3,1,6,0.16666666666666666,0.3333333333333333,0.5
2017-06-25,0,1,1,2,0.5,0.0,0.5
2017-06-26,0,9,0,9,0.0,0.0,1.0
2017-06-27,3,9,1,13,0.07692307692307693,0.23076923076923078,0.6923076923076923
2017-06-28,2,5,2,9,0.2222222222222222,0.2222222222222222,0.5555555555555556
2017-06-29,2,9,2,13,0.15384615384615385,0.15384615384615385,0.6923076923076923
2017-06-30,1,5,1,7,0.14285714285714285,0.14285714285714285,0.7142857142857143
2017-07-01,1,5,5,11,0.45454545454545453,0.09090909090909091,0.45454545454545453
2017-07-02,1,0,2,3,0.6666666666666666,0.3333333333333333,0.0
2017-07-03,0,3,7,10,0.7,0.0,0.3
2017-07-04,1,3,1,5,0.2,0.2,0.6
2017-07-05,0,3,1,4,0.25,0.0,0.75
2017-07-06,0,2,2,4,0.5,0.0,0.5
2017-07-07,0,5,2,7,0.2857142857142857,0.0,0.7142857142857143
2017-07-08,0,2,2,4,0.5,0.0,0.5
2017-07-09,1,5,5,11,0.45454545454545453,0.09090909090909091,0.45454545454545453
2017-07-10,1,10,0,11,0.0,0.09090909090909091,0.9090909090909091
2017-07-11,1,5,1,7,0.14285714285714285,0.14285714285714285,0.7142857142857143
2017-07-12,2,7,5,14,0.35714285714285715,0.14285714285714285,0.5
2017-07-13,0,4,0,4,0.0,0.0,1.0
2017-07-14,0,8,3,11,0.2727272727272727,0.0,0.7272727272727273
2017-07-15,0,2,6,8,0.75,0.0,0.25
2017-07-16,1,3,4,8,0.5,0.125,0.375
2017-07-17,0,3,0,3,0.0,0.0,1.0
2017-07-18,0,3,2,5,0.4,0.0,0.6
2017-07-19,0,5,0,5,0.0,0.0,1.0
2017-07-20,0,2,1,3,0.3333333333333333,0.0,0.6666666666666666
2017-07-21,0,4,2,6,0.3333333333333333,0.0,0.6666666666666666
2017-07-22,1,11,2,14,0.14285714285714285,0.07142857142857142,0.7857142857142857
2017-07-23,0,4,1,5,0.2,0.0,0.8
2017-07-24,2,7,0,9,0.0,0.2222222222222222,0.7777777777777778
2017-07-25,3,14,2,19,0.10526315789473684,0.15789473684210525,0.7368421052631579
2017-07-26,1,7,4,12,0.3333333333333333,0.08333333333333333,0.5833333333333334
2017-07-27,1,6,3,10,0.3,0.1,0.6
2017-07-28,0,6,3,9,0.3333333333333333,0.0,0.6666666666666666
2017-07-29,1,10,3,14,0.21428571428571427,0.07142857142857142,0.7142857142857143
2017-07-30,0,1,0,1,0.0,0.0,1.0
2017-07-31,1,1,2,4,0.5,0.25,0.25
